employee_id,first_name,last_name,department,hire_date,salary,ssn_last4
1001,John,Doe,Engineering,2023-03-15,75000,1234
1002,Jane,Smith,Marketing,2023-01-20,65000,5678
1003,Mike,Johnson,Sales,2022-11-10,70000,9012
1004,Sarah,Williams,HR,2023-05-01,68000,3456
1005,Robert,Brown,Finance,2022-08-15,80000,7890
1006,Lisa,Davis,IT,2023-02-28,72000,2468
1007,David,Miller,Legal,2023-04-12,85000,1357
1008,Amy,Wilson,Operations,2022-12-05,63000,9753
1009,Chris,Moore,Engineering,2023-06-18,76000,8642
1010,Jessica,Taylor,Marketing,2023-07-22,64000,4826
