Employee_ID,First_Name,Last_Name,Department,Email,Phone,Hire_Date
1001,John,Smith,IT,john.smith@company.com,555-0101,2020-01-15
1002,Sarah,Johnson,Finance,sarah.johnson@company.com,555-0102,2019-03-22
1003,Mike,Brown,HR,mike.brown@company.com,555-0103,2021-07-10
1004,Lisa,Davis,Marketing,lisa.davis@company.com,555-0104,2020-11-05
1005,David,Wilson,IT,david.wilson@company.com,555-0105,2018-09-12
1006,Emma,Taylor,Finance,emma.taylor@company.com,555-0106,2022-02-28
1007,James,Anderson,Operations,james.anderson@company.com,555-0107,2019-12-03
1008,Anna,Thomas,HR,anna.thomas@company.com,555-0108,2021-04-18
1009,Robert,Jackson,IT,robert.jackson@company.com,555-0109,2020-08-25
1010,Maria,White,Marketing,maria.white@company.com,555-0110,2022-01-10
